symbol	ensembl_id
GPR157	ENSG00000180758
MIR34AHG	ENSG00000228526
H6PD	ENSG00000049239
SPSB1	ENSG00000171621
SLC25A33	ENSG00000171612
PIK3CD	ENSG00000171608
CLSTN1	ENSG00000171603
CTNNBIP1	ENSG00000178585
LZIC	ENSG00000162441
NMNAT1	ENSG00000173614
RBP7	ENSG00000162444
UBE4B	ENSG00000130939
KIF1B	ENSG00000054523
PGD	ENSG00000142657
CENPS	ENSG00000175279
DFFA	ENSG00000160049
PEX14	ENSG00000142655
CASZ1	ENSG00000130940
TARDBP	ENSG00000120948
SRM	ENSG00000116649
EXOSC10	ENSG00000171824
MTOR	ENSG00000198793
UBIAD1	ENSG00000120942
FBXO2	ENSG00000116661
FBXO44	ENSG00000132879
FBXO6	ENSG00000116663
MAD2L2	ENSG00000116670
AGTRAP	ENSG00000177674
C1orf167	ENSG00000215910
MTHFR	ENSG00000177000
CLCN6	ENSG00000011021
KIAA2013	ENSG00000116685
PLOD1	ENSG00000083444
MFN2	ENSG00000116688
MIIP	ENSG00000116691
TNFRSF1B	ENSG00000028137
VPS13D	ENSG00000048707
DHRS3	ENSG00000162496
PDPN	ENSG00000162493
PRDM2	ENSG00000116731
KAZN	ENSG00000189337
TMEM51	ENSG00000171729
FHAD1	ENSG00000142621
EFHD2	ENSG00000142634
CASP9	ENSG00000132906
DNAJC16	ENSG00000116138
DDI2	ENSG00000197312
PLEKHM2	ENSG00000116786
SLC25A34	ENSG00000162461
FBLIM1	ENSG00000162458
SPEN-AS1	ENSG00000179743
SPEN	ENSG00000065526
ZBTB17	ENSG00000116809
SRARP	ENSG00000183888
HSPB7	ENSG00000173641
EPHA2	ENSG00000142627
CPLANE2	ENSG00000132881
FBXO42	ENSG00000037637
SZRD1	ENSG00000055070
NECAP2	ENSG00000157191
NBPF1	ENSG00000219481
CROCC	ENSG00000058453
ENSG00000238142	ENSG00000238142
MFAP2	ENSG00000117122
ATP13A2	ENSG00000159363
SDHB	ENSG00000117118
PADI2	ENSG00000117115
PADI4	ENSG00000159339
RCC2	ENSG00000179051
ARHGEF10L	ENSG00000074964
IGSF21	ENSG00000117154
ALDH4A1	ENSG00000159423
IFFO2	ENSG00000169991
UBR4	ENSG00000127481
EMC1	ENSG00000127463
MRTO4	ENSG00000053372
AKR7A3	ENSG00000162482
AKR7A2	ENSG00000053371
SLC66A1	ENSG00000040487
CAPZB	ENSG00000077549
MICOS10	ENSG00000173436
NBL1	ENSG00000158747
TMCO4	ENSG00000162542
OTUD3	ENSG00000169914
PLA2G5	ENSG00000127472
CAMK2N1	ENSG00000162545
MUL1	ENSG00000090432
CDA	ENSG00000158825
PINK1	ENSG00000158828
PINK1-AS	ENSG00000117242
DDOST	ENSG00000244038
KIF17	ENSG00000117245
HP1BP3	ENSG00000127483
EIF4G3	ENSG00000075151
ECE1	ENSG00000117298
NBPF3	ENSG00000142794
ALPL	ENSG00000162551
USP48	ENSG00000090686
HSPG2	ENSG00000142798
CDC42	ENSG00000070831
WNT4	ENSG00000162552
ZBTB40	ENSG00000184677
C1QA	ENSG00000173372
C1QC	ENSG00000159189
C1QB	ENSG00000173369
EPHB2	ENSG00000133216
KDM1A	ENSG00000004487
LUZP1	ENSG00000169641
HNRNPR	ENSG00000125944
ZNF436	ENSG00000125945
TCEA3	ENSG00000204219
ASAP3	ENSG00000088280
ID3	ENSG00000117318
RPL11	ENSG00000142676
ELOA	ENSG00000011007
PITHD1	ENSG00000057757
LYPLA2	ENSG00000011009
GALE	ENSG00000117308
HMGCL	ENSG00000117305
FUCA1	ENSG00000179163
PNRC2	ENSG00000189266
SRSF10	ENSG00000188529
STPG1	ENSG00000001460
NIPAL3	ENSG00000001461
RCAN3	ENSG00000117602
SRRM1	ENSG00000133226
CLIC4	ENSG00000169504
RUNX3	ENSG00000020633
SYF2	ENSG00000117614
RSRP1	ENSG00000117616
TMEM50A	ENSG00000183726
MACO1	ENSG00000204178
LDLRAP1	ENSG00000157978
MAN1C1	ENSG00000117643
ENSG00000233478	ENSG00000233478
SELENON	ENSG00000162430
MTFR1L	ENSG00000117640
PAQR7	ENSG00000182749
STMN1	ENSG00000117632
PAFAH2	ENSG00000158006
PDIK1L	ENSG00000175087
FAM110D	ENSG00000197245
ZNF593OS	ENSG00000236782
ZNF593	ENSG00000142684
CEP85	ENSG00000130695
SH3BGRL3	ENSG00000142669
UBXN11	ENSG00000158062
CD52	ENSG00000169442
DHDDS	ENSG00000117682
HMGN2	ENSG00000198830
RPS6KA1	ENSG00000117676
ARID1A	ENSG00000117713
PIGV	ENSG00000060642
ZDHHC18	ENSG00000204160
SFN	ENSG00000175793
GPN2	ENSG00000142751
GPATCH3	ENSG00000198746
NUDC	ENSG00000090273
KDF1	ENSG00000175707
TRNP1	ENSG00000253368
SLC9A1	ENSG00000090020
WDTC1	ENSG00000142784
TMEM222	ENSG00000186501
SYTL1	ENSG00000142765
MAP3K6	ENSG00000142733
FCN3	ENSG00000142748
CD164L2	ENSG00000174950
WASF2	ENSG00000158195
AHDC1	ENSG00000126705
FGR	ENSG00000000938
IFI6	ENSG00000126709
FAM76A	ENSG00000009780
STX12	ENSG00000117758
PPP1R8	ENSG00000117751
THEMIS2	ENSG00000130775
RPA2	ENSG00000117748
XKR8	ENSG00000158156
EYA3	ENSG00000158161
PTAFR	ENSG00000169403
DNAJC8	ENSG00000126698
ATP5IF1	ENSG00000130770
ENSG00000270605	ENSG00000270605
MED18	ENSG00000130772
PHACTR4	ENSG00000204138
RCC1	ENSG00000180198
TRNAU1AP	ENSG00000180098
SNHG12	ENSG00000197989
TAF12	ENSG00000120656
RAB42	ENSG00000188060
GMEB1	ENSG00000162419
YTHDF2	ENSG00000198492
EPB41	ENSG00000159023
TMEM200B	ENSG00000253304
SRSF4	ENSG00000116350
MECR	ENSG00000116353
PTPRU	ENSG00000060656
LAPTM5	ENSG00000162511
SDC3	ENSG00000162512
PUM1	ENSG00000134644
NKAIN1	ENSG00000084628
SNRNP40	ENSG00000060688
ZCCHC17	ENSG00000121766
FABP3	ENSG00000121769
SERINC2	ENSG00000168528
TINAGL1	ENSG00000142910
PEF1	ENSG00000162517
COL16A1	ENSG00000084636
PTP4A2	ENSG00000184007
KHDRBS1	ENSG00000121774
TMEM39B	ENSG00000121775
KPNA6	ENSG00000025800
TXLNA	ENSG00000084652
CCDC28B	ENSG00000160050
IQCC	ENSG00000160051
TMEM234	ENSG00000160055
EIF3I	ENSG00000084623
FAM167B	ENSG00000183615
LCK	ENSG00000182866
HDAC1	ENSG00000116478
MARCKSL1	ENSG00000175130
FAM229A	ENSG00000225828
BSDC1	ENSG00000160058
ZBTB8A	ENSG00000160062
ZBTB8OS	ENSG00000176261
RBBP4	ENSG00000162521
SYNC	ENSG00000162520
NHSL3	ENSG00000162522
YARS1	ENSG00000134684
S100PBP	ENSG00000116497
TMEM54	ENSG00000121900
RNF19B	ENSG00000116514
AK2	ENSG00000004455
ZNF362	ENSG00000160094
PHC2	ENSG00000134686
SMIM12	ENSG00000163866
GJA4	ENSG00000187513
ENSG00000284773	ENSG00000284773
ZMYM6	ENSG00000163867
ZMYM1	ENSG00000197056
SFPQ	ENSG00000116560
ZMYM4	ENSG00000146463
KIAA0319L	ENSG00000142687
TFAP2E-AS1	ENSG00000239636
PSMB2	ENSG00000126067
C1orf216	ENSG00000142686
CLSPN	ENSG00000092853
AGO4	ENSG00000134698
AGO1	ENSG00000092847
AGO3	ENSG00000126070
ADPRS	ENSG00000116863
COL8A2	ENSG00000171812
TRAPPC3	ENSG00000054116
MAP7D1	ENSG00000116871
THRAP3	ENSG00000054118
SH3D21	ENSG00000214193
EVA1B	ENSG00000142694
STK40	ENSG00000196182
LSM10	ENSG00000181817
OSCP1	ENSG00000116885
MRPS15	ENSG00000116898
CSF3R	ENSG00000119535
LITATS1	ENSG00000233621
ZC3H12A	ENSG00000163874
MEAF6	ENSG00000163875
SNIP1	ENSG00000163877
DNALI1	ENSG00000163879
GNL2	ENSG00000134697
AIRIM	ENSG00000116922
CDCA8	ENSG00000134690
YRDC	ENSG00000196449
C1orf122	ENSG00000197982
MTF1	ENSG00000188786
INPP5B	ENSG00000204084
SF3A3	ENSG00000183431
FHL3	ENSG00000183386
UTP11	ENSG00000183520
RRAGC	ENSG00000116954
MYCBP	ENSG00000214114
RHBDL2	ENSG00000158315
AKIRIN1	ENSG00000174574
NDUFS5	ENSG00000168653
MACF1	ENSG00000127603
PABPC4	ENSG00000090621
HEYL	ENSG00000163909
PPIE	ENSG00000084072
TRIT1	ENSG00000043514
MFSD2A	ENSG00000168389
CAP1	ENSG00000131236
PPT1	ENSG00000131238
RLF	ENSG00000117000
ZMPSTE24-DT	ENSG00000259943
ZMPSTE24	ENSG00000084073
COL9A2	ENSG00000049089
SMAP2	ENSG00000084070
ZNF684	ENSG00000117010
RIMS3	ENSG00000117016
NFYC	ENSG00000066136
CITED4	ENSG00000179862
CTPS1	ENSG00000171793
SCMH1	ENSG00000010803
HIVEP3	ENSG00000127124
FOXJ3	ENSG00000198815
PPCS	ENSG00000127125
CCDC30	ENSG00000186409
PPIH	ENSG00000171960
YBX1	ENSG00000065978
P3H1	ENSG00000117385
C1orf50	ENSG00000164008
SVBP	ENSG00000177868
ERMAP	ENSG00000164010
ZNF691	ENSG00000164011
SLC2A1	ENSG00000117394
CFAP144	ENSG00000186973
EBNA1BP2	ENSG00000117395
TMEM125	ENSG00000179178
C1orf210	ENSG00000253313
TIE1	ENSG00000066056
ELOVL1	ENSG00000066322
MED8	ENSG00000159479
SZT2	ENSG00000198198
HYI	ENSG00000178922
PTPRF	ENSG00000142949
KDM4A	ENSG00000066135
ST3GAL3	ENSG00000126091
ARTN	ENSG00000117407
IPO13	ENSG00000117408
DPH2	ENSG00000132768
ATP6V0B	ENSG00000117410
B4GALT2	ENSG00000117411
CCDC24	ENSG00000159214
SLC6A9	ENSG00000196517
DMAP1	ENSG00000178028
ERI3	ENSG00000117419
RNF220	ENSG00000187147
TMEM53	ENSG00000126106
KIF2C	ENSG00000142945
RPS8	ENSG00000142937
PLK3	ENSG00000173846
BTBD19	ENSG00000222009
EIF2B3	ENSG00000070785
HECTD3	ENSG00000126107
UROD	ENSG00000126088
MUTYH	ENSG00000132781
TOE1	ENSG00000132773
PRDX1	ENSG00000117450
AKR1A1	ENSG00000117448
NASP	ENSG00000132780
CCDC17	ENSG00000159588
GPBP1L1	ENSG00000159592
TMEM69	ENSG00000159596
IPP	ENSG00000197429
MAST2	ENSG00000086015
PIK3R3	ENSG00000117461
TSPAN1	ENSG00000117472
POMGNT1	ENSG00000085998
LURAP1	ENSG00000171357
LRRC41	ENSG00000132128
UQCRH	ENSG00000173660
NSUN4	ENSG00000117481
FAAH	ENSG00000117480
MKNK1	ENSG00000079277
MOB3C	ENSG00000142961
ATPAF1	ENSG00000123472
EFCAB14	ENSG00000159658
CYP4B1	ENSG00000142973
TAL1	ENSG00000162367
CMPK1	ENSG00000162368
TRABD2B	ENSG00000269113
SPATA6	ENSG00000132122
ELAVL4	ENSG00000162374
FAF1	ENSG00000185104
CDKN2C	ENSG00000123080
RNF11	ENSG00000123091
EPS15	ENSG00000085832
OSBPL9	ENSG00000117859
NRDC	ENSG00000078618
TXNDC12	ENSG00000117862
KTI12	ENSG00000198841
BTF3L4	ENSG00000134717
ZFYVE9	ENSG00000157077
CC2D1B	ENSG00000154222
PRPF38A	ENSG00000134748
TUT4	ENSG00000134744
GPX7	ENSG00000116157
SHISAL2A	ENSG00000182183
COA7	ENSG00000162377
ZYG11B	ENSG00000162378
ECHDC2	ENSG00000121310
SCP2	ENSG00000116171
PODN	ENSG00000174348
CPT2	ENSG00000157184
CZIB	ENSG00000162384
MAGOH	ENSG00000162385
LRP8	ENSG00000157193
NDC1	ENSG00000058804
YIPF1	ENSG00000058799
IFT25	ENSG00000081870
LRRC42	ENSG00000116212
TMEM59	ENSG00000116209
TCEANC2	ENSG00000116205
CYB5RL	ENSG00000215883
MRPL37	ENSG00000116221
SSBP3	ENSG00000157216
ACOT11	ENSG00000162390
TTC4	ENSG00000243725
DHCR24	ENSG00000116133
TMEM61	ENSG00000143001
USP24	ENSG00000162402
PLPP3	ENSG00000162407
OMA1	ENSG00000162600
TACSTD2	ENSG00000184292
MYSM1	ENSG00000162601
JUN	ENSG00000177606
FGGY	ENSG00000172456
NFIA	ENSG00000162599
NFIA-AS2	ENSG00000237928
TM2D1	ENSG00000162604
PATJ	ENSG00000132849
USP1	ENSG00000162607
DOCK7	ENSG00000116641
ANGPTL3	ENSG00000132855
ATG4C	ENSG00000125703
ALG6	ENSG00000088035
ITGB3BP	ENSG00000142856
EFCAB7	ENSG00000203965
PGM1	ENSG00000079739
CACHD1	ENSG00000158966
JAK1	ENSG00000162434
AK4	ENSG00000162433
DNAJC6	ENSG00000116675
LEPROT	ENSG00000213625
LEPR	ENSG00000116678
PDE4B	ENSG00000184588
SGIP1	ENSG00000118473
MIER1	ENSG00000198160
SERBP1	ENSG00000142864
GADD45A	ENSG00000116717
GNG12	ENSG00000172380
WLS	ENSG00000116729
LRRC40	ENSG00000066557
SRSF11	ENSG00000116754
ANKRD13C	ENSG00000118454
ZRANB2	ENSG00000132485
FPGT	ENSG00000254685
FPGT-TNNI3K	ENSG00000259030
CRYZ	ENSG00000116791
TYW3	ENSG00000162623
ACADM	ENSG00000117054
RABGGTB	ENSG00000137955
ST6GALNAC3	ENSG00000184005
PIGK	ENSG00000142892
ZZZ3	ENSG00000036549
USP33	ENSG00000077254
MIGA1	ENSG00000180488
NEXN	ENSG00000162614
FUBP1	ENSG00000162613
DNAJB4	ENSG00000162616
GIPC2	ENSG00000137960
ENSG00000273338	ENSG00000273338
IFI44L	ENSG00000137959
IFI44	ENSG00000137965
ADGRL4	ENSG00000162618
ADGRL2	ENSG00000117114
TTLL7	ENSG00000137941
PRKACB	ENSG00000142875
RPF1	ENSG00000117133
GNG5	ENSG00000174021
SPATA1	ENSG00000122432
CTBS	ENSG00000117151
SSX2IP	ENSG00000117155
C1orf52	ENSG00000162642
BCL10	ENSG00000142867
DDAH1	ENSG00000153904
CCN1	ENSG00000142871
ZNHIT6	ENSG00000117174
ODF2L	ENSG00000122417
SH3GLB1	ENSG00000097033
SELENOF	ENSG00000183291
HS2ST1	ENSG00000153936
LMO4	ENSG00000143013
PKN2	ENSG00000065243
GTF2B	ENSG00000137947
KYAT3	ENSG00000137944
RBMXL1	ENSG00000213516
GBP3	ENSG00000117226
GBP1	ENSG00000117228
GBP2	ENSG00000162645
GBP4	ENSG00000162654
GBP5	ENSG00000154451
LRRC8B	ENSG00000197147
LRRC8C-DT	ENSG00000231999
LRRC8C	ENSG00000171488
LRRC8D	ENSG00000171492
ZNF326	ENSG00000162664
ZNF644	ENSG00000122482
TGFBR3	ENSG00000069702
BTBD8	ENSG00000189195
GLMN	ENSG00000174842
RPAP2	ENSG00000122484
EVI5	ENSG00000067208
RPL5	ENSG00000122406
DIPK1A	ENSG00000154511
MTF2	ENSG00000143033
TMED5	ENSG00000117500
CCDC18	ENSG00000122483
DR1	ENSG00000117505
FNBP1L	ENSG00000137942
BCAR3	ENSG00000137936
DNTTIP2	ENSG00000067334
GCLM	ENSG00000023909
ARHGAP29	ENSG00000137962
ABCD3	ENSG00000117528
F3	ENSG00000117525
CNN3	ENSG00000117519
ALG14	ENSG00000172339
TLCD4	ENSG00000152078
PTBP2	ENSG00000117569
DPYD	ENSG00000188641
SNX7	ENSG00000162627
PALMD	ENSG00000099260
AGL	ENSG00000162688
SLC35A3	ENSG00000117620
MFSD14A	ENSG00000156875
TRMT13	ENSG00000122435
DBT	ENSG00000137992
RTCA-AS1	ENSG00000224616
RTCA	ENSG00000137996
CDC14A	ENSG00000079335
VCAM1	ENSG00000162692
EXTL2	ENSG00000162694
SLC30A7	ENSG00000162695
DPH5	ENSG00000117543
DPH5-DT	ENSG00000233184
S1PR1	ENSG00000170989
RNPC3	ENSG00000185946
PRMT6	ENSG00000198890
VAV3	ENSG00000134215
SLC25A24	ENSG00000085491
EEIG2	ENSG00000162636
HENMT1	ENSG00000162639
PRPF38B	ENSG00000134186
STXBP3	ENSG00000116266
GPSM2	ENSG00000121957
CLCC1	ENSG00000121940
WDR47	ENSG00000085433
TAF13	ENSG00000197780
TMEM167B	ENSG00000215717
SARS1	ENSG00000031698
CELSR2	ENSG00000143126
PSRC1	ENSG00000134222
SORT1	ENSG00000134243
PSMA5	ENSG00000143106
CYB561D1	ENSG00000174151
AMIGO1	ENSG00000181754
GNAI3	ENSG00000065135
AMPD2	ENSG00000116337
GSTM4	ENSG00000168765
GSTM1	ENSG00000134184
GSTM5	ENSG00000134201
GSTM3	ENSG00000134202
CSF1	ENSG00000184371
AHCYL1	ENSG00000168710
STRIP1	ENSG00000143093
KCNC4	ENSG00000116396
RBM15	ENSG00000162775
SLC16A4	ENSG00000168679
LAMTOR5	ENSG00000134248
CD53	ENSG00000143119
LRIF1	ENSG00000121931
DRAM2	ENSG00000156171
CEPT1	ENSG00000134255
ENSG00000273221	ENSG00000273221
DENND2D	ENSG00000162777
WDR77	ENSG00000116455
ATP5PB	ENSG00000116459
C1orf162	ENSG00000143110
TMIGD3	ENSG00000121933
ADORA3	ENSG00000282608
RAP1A	ENSG00000116473
DDX20	ENSG00000064703
CTTNBP2NL	ENSG00000143079
WNT2B	ENSG00000134245
ST7L	ENSG00000007341
CAPZA1	ENSG00000116489
MOV10	ENSG00000155363
RHOC	ENSG00000155366
PPM1J	ENSG00000155367
SLC16A1	ENSG00000155380
SLC16A1-AS1	ENSG00000226419
LRIG2	ENSG00000198799
MAGI3	ENSG00000081026
PHTF1	ENSG00000116793
RSBN1	ENSG00000081019
PTPN22	ENSG00000134242
AP4B1	ENSG00000134262
DCLRE1B	ENSG00000118655
HIPK1-AS1	ENSG00000235527
HIPK1	ENSG00000163349
OLFML3	ENSG00000116774
TRIM33	ENSG00000197323
BCAS2	ENSG00000116752
DENND2C	ENSG00000175984
NRAS	ENSG00000213281
CSDE1	ENSG00000009307
SIKE1	ENSG00000052723
TSPAN2	ENSG00000134198
NGF	ENSG00000134259
VANGL1	ENSG00000173218
CASQ2	ENSG00000118729
SLC22A15	ENSG00000163393
ATP1A1	ENSG00000163399
CD58	ENSG00000116815
CD2	ENSG00000116824
PTGFRN	ENSG00000134247
TTF2	ENSG00000116830
TRIM45	ENSG00000134253
VTCN1	ENSG00000134258
MAN1A2	ENSG00000198162
TENT5C	ENSG00000183508
GDAP2	ENSG00000196505
WDR3	ENSG00000065183
WARS2	ENSG00000116874
PHGDH	ENSG00000092621
HMGCS2	ENSG00000134240
NOTCH2	ENSG00000134250
SEC22B	ENSG00000265808
LINC00623	ENSG00000226067
SRGAP2C	ENSG00000171943
LINC02591	ENSG00000263590
LINC02802	ENSG00000232527
NBPF15	ENSG00000266338
SRGAP2B	ENSG00000196369
ENSG00000276216	ENSG00000276216
GPR89A	ENSG00000117262
PDZK1	ENSG00000174827
CD160	ENSG00000117281
RNF115	ENSG00000265491
POLR3C	ENSG00000186141
NUDT17	ENSG00000186364
PIAS3	ENSG00000131788
ITGA10	ENSG00000143127
PEX11B	ENSG00000131779
RBM8A	ENSG00000265241
LIX1L	ENSG00000271601
POLR3GL	ENSG00000121851
TXNIP	ENSG00000265972
NOTCH2NLA	ENSG00000264343
NBPF12	ENSG00000268043
PRKAB2	ENSG00000131791
ENSG00000237188	ENSG00000237188
FMO5	ENSG00000131781
CHD1L	ENSG00000131778
BCL9	ENSG00000116128
ACP6	ENSG00000162836
GJA5	ENSG00000265107
NBPF11	ENSG00000263956
NBPF14	ENSG00000270629
PDE4DIP	ENSG00000178104
NBPF9	ENSG00000269713
ENSG00000274265	ENSG00000274265
NBPF19	ENSG00000271383
FCGR1A	ENSG00000150337
H2BC18	ENSG00000203814
H2AC19	ENSG00000288859
H2AC20	ENSG00000184260
BOLA1	ENSG00000178096
SF3B4	ENSG00000143368
MTMR11	ENSG00000014914
OTUD7B	ENSG00000264522
VPS45	ENSG00000136631
PLEKHO1	ENSG00000023902
ANP32E	ENSG00000143401
APH1A	ENSG00000117362
C1orf54	ENSG00000118292
MRPS21	ENSG00000266472
PRPF3	ENSG00000117360
RPRD2	ENSG00000163125
TARS2	ENSG00000143374
ECM1	ENSG00000143369
ADAMTSL4-AS2	ENSG00000237781
MCL1	ENSG00000143384
ENSA	ENSG00000143420
GOLPH3L	ENSG00000143457
CTSS	ENSG00000163131
CTSK	ENSG00000143387
ARNT	ENSG00000143437
SETDB1	ENSG00000143379
CERS2	ENSG00000143418
ANXA9	ENSG00000143412
MINDY1	ENSG00000143409
C1orf56	ENSG00000143443
CDC42SE1	ENSG00000197622
MLLT11	ENSG00000213190
GABPB2	ENSG00000143458
TNFAIP8L2	ENSG00000163154
SCNM1	ENSG00000163156
LYSMD1	ENSG00000163155
VPS72	ENSG00000163159
PIP5K1A	ENSG00000143398
PSMD4	ENSG00000159352
ZNF687	ENSG00000143373
PI4KB	ENSG00000143393
RFX5	ENSG00000143390
SELENBP1	ENSG00000143416
PSMB4	ENSG00000159377
POGZ	ENSG00000143442
CGN	ENSG00000143375
TUFT1	ENSG00000143367
SNX27	ENSG00000143376
MRPL9	ENSG00000143436
OAZ3	ENSG00000143450
TDRKH	ENSG00000182134
TDRKH-AS1	ENSG00000203288
THEM4	ENSG00000159445
S100A10	ENSG00000197747
S100A11	ENSG00000163191
TCHH	ENSG00000159450
S100A9	ENSG00000163220
S100A12	ENSG00000163221
S100A8	ENSG00000143546
S100A7	ENSG00000143556
S100A6	ENSG00000197956
S100A5	ENSG00000196420
S100A4	ENSG00000196154
S100A16	ENSG00000188643
S100A14	ENSG00000189334
S100A13	ENSG00000189171
CHTOP	ENSG00000160679
SNAPIN	ENSG00000143553
ILF2	ENSG00000143621
NPR1	ENSG00000169418
INTS3	ENSG00000143624
SLC27A3	ENSG00000143554
GATAD2B	ENSG00000143614
DENND4B	ENSG00000198837
CRTC2	ENSG00000160741
SLC39A1	ENSG00000143570
CREB3L4	ENSG00000143578
JTB	ENSG00000143543
JTB-DT	ENSG00000272654
RAB13	ENSG00000143545
RPS27	ENSG00000177954
TPM3	ENSG00000143549
C1orf43	ENSG00000143612
UBAP2L	ENSG00000143569
HAX1	ENSG00000143575
ATP8B2	ENSG00000143515
IL6R	ENSG00000160712
SHE	ENSG00000169291
UBE2Q1	ENSG00000160714
ADAR	ENSG00000160710
KCNN3	ENSG00000143603
PMVK	ENSG00000163344
PBXIP1	ENSG00000163346
PYGO2	ENSG00000163348
SHC1	ENSG00000160691
CKS1B	ENSG00000173207
FLAD1	ENSG00000160688
ZBTB7B	ENSG00000160685
ADAM15	ENSG00000143537
EFNA4	ENSG00000243364
EFNA3	ENSG00000143590
EFNA1	ENSG00000169242
SLC50A1	ENSG00000169241
DPM3	ENSG00000179085
KRTCAP2	ENSG00000163463
MUC1	ENSG00000185499
THBS3	ENSG00000169231
MTX1	ENSG00000173171
GBA1	ENSG00000177628
ENTREP3	ENSG00000160767
SCAMP3	ENSG00000116521
CLK2	ENSG00000176444
FDPS	ENSG00000160752
RUSC1	ENSG00000160753
ASH1L	ENSG00000116539
MSTO1	ENSG00000125459
YY1AP1	ENSG00000163374
DAP3	ENSG00000132676
GON4L	ENSG00000116580
SYT11	ENSG00000132718
RIT1	ENSG00000143622
KHDC4	ENSG00000132680
ARHGEF2	ENSG00000116584
SSR2	ENSG00000163479
UBQLN4	ENSG00000160803
LAMTOR2	ENSG00000116586
RAB25	ENSG00000132698
LMNA	ENSG00000160789
SEMA4A	ENSG00000196189
SLC25A44	ENSG00000160785
PMF1	ENSG00000160783
SMG5	ENSG00000198952
TMEM79	ENSG00000163472
GLMP	ENSG00000198715
CCT3	ENSG00000163468
MEF2D	ENSG00000116604
NAXE	ENSG00000163382
GPATCH4	ENSG00000160818
NES	ENSG00000132688
CRABP2	ENSG00000143320
ISG20L2	ENSG00000143319
METTL25B	ENSG00000143303
MRPL24	ENSG00000143314
HDGF	ENSG00000143321
PRCC	ENSG00000143294
SH2D2A	ENSG00000027869
PEAR1	ENSG00000187800
ARHGEF11	ENSG00000132694
ETV3	ENSG00000117036
CD5L	ENSG00000073754
KIRREL1	ENSG00000183853
CD1D	ENSG00000158473
CD1C	ENSG00000158481
MNDA	ENSG00000163563
PYHIN1	ENSG00000163564
IFI16	ENSG00000163565
ACKR1	ENSG00000213088
FCER1A	ENSG00000179639
ENSG00000228560	ENSG00000228560
APCS	ENSG00000132703
DUSP23	ENSG00000158716
FCRL6	ENSG00000181036
TAGLN2	ENSG00000158710
PIGM	ENSG00000143315
IGSF8	ENSG00000162729
ATP1A2	ENSG00000018625
PEA15	ENSG00000162734
DCAF8	ENSG00000132716
PEX19	ENSG00000162735
COPA	ENSG00000122218
NCSTN	ENSG00000162736
SLAMF6	ENSG00000162739
CD84	ENSG00000066294
SLAMF1	ENSG00000117090
CD48	ENSG00000117091
SLAMF7	ENSG00000026751
LY9	ENSG00000122224
CD244	ENSG00000122223
ITLN1	ENSG00000179914
F11R	ENSG00000158769
TSTD1	ENSG00000215845
USF1	ENSG00000158773
ARHGAP30	ENSG00000186517
NECTIN4	ENSG00000143217
KLHDC9	ENSG00000162755
PFDN2	ENSG00000143256
NIT1	ENSG00000158793
